iter	RMSE
0	2.208450857
1	2.18325664
2	2.161995934
3	2.141019025
4	2.125535011
5	2.110650846
6	2.093561125
7	2.076173889
8	2.060499477
9	2.046723018
10	2.035250842
11	2.023939246
12	2.015458175
13	2.00415016
14	1.995742603
15	1.988435354
16	1.981004036
17	1.972865622
18	1.963687129
19	1.96023096
20	1.9550849
21	1.949333206
22	1.940154978
23	1.934737447
24	1.922174549
25	1.915935316
26	1.910902722
27	1.905692925
28	1.899065982
29	1.891423892
30	1.888121661
31	1.884061018
32	1.8789099
33	1.87315384
34	1.869741908
35	1.86214133
36	1.857744231
37	1.854763588
38	1.851215485
39	1.847202449
40	1.844753495
41	1.838998275
42	1.832703742
43	1.826105198
44	1.8210902
45	1.816422911
46	1.81417336
47	1.811155641
48	1.807645682
49	1.802361653
50	1.79924284
51	1.793416595
52	1.788782079
53	1.783639719
54	1.77828651
55	1.776303592
56	1.772526153
57	1.770594173
58	1.768082643
59	1.763166012
60	1.760716465
61	1.756439203
62	1.752207006
63	1.751325543
64	1.746130143
65	1.742291513
66	1.739925188
67	1.735221288
68	1.729890227
69	1.72529494
70	1.720688209
71	1.717244918
72	1.71237908
73	1.709770431
74	1.705836054
75	1.704673219
76	1.700302554
77	1.697635866
78	1.691214872
79	1.688118983
80	1.682010924
81	1.676268578
82	1.672831847
83	1.66813901
84	1.664650121
85	1.66175687
86	1.656218813
87	1.65405339
88	1.650233832
89	1.646849335
90	1.642916514
91	1.637699234
92	1.635460326
93	1.633333998
94	1.62973894
95	1.625613656
96	1.623761698
97	1.620451435
98	1.617498406
99	1.614679399
100	1.610510146
101	1.604875458
102	1.601401933
103	1.598482184
104	1.593786651
105	1.591787135
106	1.589690463
107	1.587857357
108	1.581181764
109	1.578143634
110	1.572389715
111	1.569142895
112	1.564507439
113	1.56215861
114	1.559512868
115	1.557680948
116	1.554297607
117	1.551209179
118	1.549228689
119	1.541677584
120	1.539968493
121	1.5334432
122	1.529030067
123	1.522621466
124	1.515998589
125	1.513433911
126	1.510645863
127	1.504238656
128	1.501913342
129	1.498607332
130	1.495865622
131	1.489123721
132	1.487679363
133	1.483922702
134	1.481432609
135	1.477651826
136	1.475470315
137	1.470634193
138	1.463497916
139	1.460435762
140	1.459763914
141	1.456895271
142	1.453601563
143	1.451779621
144	1.446360844
145	1.442721071
146	1.442274845
147	1.440459831
148	1.438339189
149	1.436762309
150	1.435186615
151	1.430259903
152	1.427448215
153	1.426418594
154	1.424688226
155	1.420656738
156	1.419036614
157	1.415777564
158	1.4100183
159	1.407644573
160	1.407226258
161	1.402322852
162	1.399872228
163	1.396711756
164	1.396334364
165	1.393799102
166	1.38979183
167	1.386375533
168	1.383960039
169	1.38197251
170	1.378569741
171	1.376754044
172	1.373902449
173	1.369676379
174	1.364051837
175	1.360981181
176	1.35829685
177	1.355798071
178	1.351813101
179	1.34943722
180	1.347793755
181	1.346106814
182	1.34450774
183	1.343581168
184	1.340634502
185	1.338052346
186	1.334115626
187	1.330918986
188	1.326243613
189	1.32142859
190	1.320818358
191	1.318318568
192	1.313515271
193	1.311086625
