iter	Passed	Remaining
0	233	233280
1	432	215940
2	658	218719
3	866	215807
4	1065	212057
5	1233	204299
6	1370	194445
7	1517	188165
8	1667	183599
9	1810	179256
10	1946	175019
11	2089	172066
12	2223	168825
13	2366	166673
14	2495	163872
15	2632	161921
16	2772	160301
17	2906	158582
18	3046	157315
19	3178	155749
20	3311	154366
21	3454	153569
22	3584	152271
23	3727	151598
24	3865	150747
25	3999	149829
26	4137	149103
27	4277	148498
28	4423	148112
29	4554	147248
30	4687	146508
31	4830	146107
32	4960	145354
33	5103	144997
34	5233	144295
35	5376	143974
36	5518	143639
37	5660	143298
38	5803	143016
39	5947	142728
40	6087	142376
41	6240	142344
42	6404	142529
43	6549	142306
44	6687	141918
45	6836	141786
46	6973	141401
47	7121	141250
48	7260	140903
49	7401	140630
50	7536	140241
51	7679	140001
52	7815	139653
53	7946	139212
54	8074	138740
55	8202	138264
56	8323	137695
57	8441	137102
58	8559	136523
59	8682	136033
60	8796	135407
61	8917	134917
62	9033	134355
63	9148	133802
64	9264	133261
65	9384	132799
66	9499	132281
67	9618	131834
68	9740	131425
69	9856	130950
70	9973	130493
71	10090	130053
72	10210	129658
73	10329	129260
74	10443	128808
75	10557	128356
76	10679	128013
77	10798	127647
78	10917	127279
79	11038	126944
80	11156	126581
81	11276	126240
82	11395	125895
83	11520	125633
84	11647	125384
85	11768	125073
86	11889	124769
87	12008	124449
88	12129	124152
89	12244	123809
90	12361	123481
91	12480	123178
92	12594	122827
93	12712	122526
94	12832	122250
95	12952	121966
96	13067	121646
97	13182	121336
98	13300	121048
99	13415	120735
100	13528	120414
101	13649	120171
102	13767	119901
103	13886	119634
104	14005	119383
105	14119	119084
106	14232	118785
107	14348	118509
108	14466	118251
109	14581	117973
110	14699	117725
111	14813	117450
112	14929	117190
113	15045	116929
114	15157	116649
115	15274	116398
116	15393	116177
117	15509	115925
118	15625	115680
119	15750	115505
120	15870	115289
121	15986	115052
122	16103	114820
123	16224	114615
124	16343	114401
125	16455	114145
126	16573	113925
127	16695	113735
128	16810	113506
129	16929	113296
130	17049	113101
131	17170	112907
132	17286	112684
133	17405	112483
134	17522	112276
135	17639	112063
136	17754	111839
137	17872	111637
138	17993	111457
139	18109	111242
140	18224	111026
141	18339	110812
142	18456	110610
143	18570	110394
144	18691	110212
145	18806	110007
146	18961	110029
147	19078	109827
148	19194	109627
149	19308	109416
150	19423	109210
151	19544	109035
152	19660	108841
153	19778	108651
154	19898	108479
155	20013	108278
156	20127	108074
157	20245	107891
158	20365	107718
159	20483	107540
160	20596	107332
161	20715	107159
162	20832	106975
163	20950	106794
164	21066	106609
165	21182	106424
166	21305	106270
167	21422	106094
168	21538	105908
169	21654	105726
170	21777	105575
171	21895	105404
172	22012	105228
173	22135	105080
174	22253	104907
175	22374	104752
176	22491	104577
177	22608	104405
178	22725	104231
179	22842	104061
180	22959	103889
181	23072	103701
182	23190	103531
183	23304	103349
184	23417	103163
185	23533	102988
186	23651	102828
187	23769	102665
188	23884	102488
189	24003	102331
190	24118	102157
191	24236	101996
192	24353	101830
193	24470	101664
